,tiltle,price,link
0,"JBL Go 3, Wireless Ultra Portable Bluetooth Speaker, Pro Sound, Vibrant Colors with Rugged Fabric Design, Waterproof, Type C (Without Mic, Blue)","2,799",https://amazon.in//JBL-Wireless-Portable-Bluetooth-Waterproof/dp/B08FB396L1/ref=sr_1_19?crid=X79A61GQ1NB6&dib=eyJ2IjoiMSJ9.wOJqH2wksQrSPDwbiIf0ywn9jXAPDRz4ry3smkEZOWBNruXQZTtwIM6DjYqBWW46tD_-UpIznxAEn1Hf-IHQypJ9Bhv5pSyuaqkdwG5lGeOJ_1B0Rt5R7-6uz-NGnBBeCos-DNrwYO-5hoOhITIMEwdrS_0KxYGbfcXPsjl_GbiDwmdHZwj49PEb4UZVn4Slp2hq5uzctH0Uk_QiBe1Kak21ATveOBepN51aDBqk5pw.5Z4PEe_l2kWODVPjQ61O5CvBxDKBUKRWGNa48HkhCPg&dib_tag=se&keywords=speaker&qid=1751824964&sprefix=speaker%2Caps%2C232&sr=8-19
1,"Krisons Cylender 4"" Double Woofer 40W Multi-Media Bluetooth Party Speaker with Wired Mic for Karaoke,2400 MAH Battery, Digital Display,RGB Lights, USB, SD Card, FM Radio,Auto TWS Function & Remote","1,499",https://amazon.in//KRISONS-Cylender-Multi-Media-Bluetooth-Speaker/dp/B09RPC4J7K/ref=sr_1_19?crid=X79A61GQ1NB6&dib=eyJ2IjoiMSJ9.LFUzZ56wS-XW9PanS0d_A8PsboqWb7orhH1Cz_g4xYt2v82xB8jndTNaVqR0gr3kzPUIk1pflYapCPMWN7xHMtuURvg_c-NkuVpXyTTHBjRXEc_gxY7ay7Zph_rzWzTMZrNacbNeBT5tE8thGhabiW6eDab1fWwsnAb2BGRd369kkL87rEeUgDQg_snOuRHSH88VTYghqnerQNX6NN53iNLkBA4m9Q5PAKd3LI5Fx2g.tj-Afdsglx9vhR-4LNosocCSrVhriAzl-hKt4Tstm64&dib_tag=se&keywords=speaker&qid=1751824969&sprefix=speaker%2Caps%2C232&sr=8-19
2,"pTron Newly Launched Fusion Bliss 16W Bluetooth Speaker with Wireless Karaoke Mic, 6Hrs Playtime, Vibrant RGB Lights, Voice Effects, Multi-Play Modes BT5.3/TF Card & Type-C Charging Port (Black)","1,235",https://amazon.in//pTron-Launched-Fusion-Bluetooth-Multi-Play/dp/B0D76YMVZ6/ref=sr_1_35?crid=X79A61GQ1NB6&dib=eyJ2IjoiMSJ9.LFUzZ56wS-XW9PanS0d_A8PsboqWb7orhH1Cz_g4xYt2v82xB8jndTNaVqR0gr3kzPUIk1pflYapCPMWN7xHMtuURvg_c-NkuVpXyTTHBjRXEc_gxY7ay7Zph_rzWzTMZrNacbNeBT5tE8thGhabiW6eDab1fWwsnAb2BGRd369kkL87rEeUgDQg_snOuRHSH88VTYghqnerQNX6NN53iNLkBA4m9Q5PAKd3LI5Fx2g.tj-Afdsglx9vhR-4LNosocCSrVhriAzl-hKt4Tstm64&dib_tag=se&keywords=speaker&qid=1751824969&sprefix=speaker%2Caps%2C232&sr=8-35
3,"Honeywell Newly Launched Suono P400 15W 5.3 Bluetooth Speaker,Deep Bass Radiators,10H Playtime,IPX 6,TWS Feature,RGB Lights,SD Card,AUX,Type-C Port,Built-In Mic,78mm Drivers,2Yrs Manufacturer Warranty","1,889",https://amazon.in/javascript:void(0)
4,"Portronics SoundDrum 1 12W TWS Portable Bluetooth Speaker with Powerful Bass, Bluetooth 5.3V, 360° Surround Sound, USB Drive in, Type C Fast Charging(Blue)",899,https://amazon.in/javascript:void(0)
5,"pTron Newly Launched Fusion Hook v2 6W Bluetooth Speaker with 8 Hrs Playtime, 2.04"" Neo Driver for Pristine Sound, Mini Size Portable Speaker, BTv5.1 Connectivity, TWS Feature & Type C Charging(Black)",499,https://amazon.in//pTron-Launched-Fusion-Bluetooth-Connectivity/dp/B0DG2ZHKCZ/ref=sr_1_26?crid=X79A61GQ1NB6&dib=eyJ2IjoiMSJ9.LFUzZ56wS-XW9PanS0d_A8PsboqWb7orhH1Cz_g4xYt2v82xB8jndTNaVqR0gr3kzPUIk1pflYapCPMWN7xHMtuURvg_c-NkuVpXyTTHBjRXEc_gxY7ay7Zph_rzWzTMZrNacbNeBT5tE8thGhabiW6eDab1fWwsnAb2BGRd369kkL87rEeUgDQg_snOuRHSH88VTYghqnerQNX6NN53iNLkBA4m9Q5PAKd3LI5Fx2g.tj-Afdsglx9vhR-4LNosocCSrVhriAzl-hKt4Tstm64&dib_tag=se&keywords=speaker&qid=1751824969&sprefix=speaker%2Caps%2C232&sr=8-26
6,"Tribit Updated Version XSound Go Wireless Bluetooth 5.3 Speakers with Loud Stereo Sound & Rich Bass 16W,24H Playtime,150 ft Bluetooth Range,Outdoor Lightweight IPX7 Waterproof,Built-in Mic (Black)","2,999",https://amazon.in//Bluetooth-Tribit-Upgraded-Portable-Waterproof/dp/B078S4P3J9/ref=sr_1_33?crid=X79A61GQ1NB6&dib=eyJ2IjoiMSJ9.LFUzZ56wS-XW9PanS0d_A8PsboqWb7orhH1Cz_g4xYt2v82xB8jndTNaVqR0gr3kzPUIk1pflYapCPMWN7xHMtuURvg_c-NkuVpXyTTHBjRXEc_gxY7ay7Zph_rzWzTMZrNacbNeBT5tE8thGhabiW6eDab1fWwsnAb2BGRd369kkL87rEeUgDQg_snOuRHSH88VTYghqnerQNX6NN53iNLkBA4m9Q5PAKd3LI5Fx2g.tj-Afdsglx9vhR-4LNosocCSrVhriAzl-hKt4Tstm64&dib_tag=se&keywords=speaker&qid=1751824969&sprefix=speaker%2Caps%2C232&sr=8-33
7,"amazon basics 5W Bluetooth 5.0 Speaker, Upto 36 Hrs Playtime, True Wireless Technology, Built in Mic, Multiple Connectivity Modes (Black)",599,https://amazon.in//AmazonBasics-Bluetooth-Playtime-Technology-Connectivity/dp/B0BLNMXT67/ref=sr_1_31?crid=X79A61GQ1NB6&dib=eyJ2IjoiMSJ9.LFUzZ56wS-XW9PanS0d_A8PsboqWb7orhH1Cz_g4xYt2v82xB8jndTNaVqR0gr3kzPUIk1pflYapCPMWN7xHMtuURvg_c-NkuVpXyTTHBjRXEc_gxY7ay7Zph_rzWzTMZrNacbNeBT5tE8thGhabiW6eDab1fWwsnAb2BGRd369kkL87rEeUgDQg_snOuRHSH88VTYghqnerQNX6NN53iNLkBA4m9Q5PAKd3LI5Fx2g.tj-Afdsglx9vhR-4LNosocCSrVhriAzl-hKt4Tstm64&dib_tag=se&keywords=speaker&qid=1751824969&sprefix=speaker%2Caps%2C232&sr=8-31
8,"JBL Flip 6 Wireless Portable Bluetooth Speaker Pro Sound, Upto 12 Hours Playtime, IP67 Water & Dustproof, PartyBoost & Personalization App (Without Mic, Black)","8,999",https://amazon.in//JBL-Bluetooth-Dustproof-PartyBoost-Personalization/dp/B09V7WS4PP/ref=sr_1_32?crid=X79A61GQ1NB6&dib=eyJ2IjoiMSJ9.LFUzZ56wS-XW9PanS0d_A8PsboqWb7orhH1Cz_g4xYt2v82xB8jndTNaVqR0gr3kzPUIk1pflYapCPMWN7xHMtuURvg_c-NkuVpXyTTHBjRXEc_gxY7ay7Zph_rzWzTMZrNacbNeBT5tE8thGhabiW6eDab1fWwsnAb2BGRd369kkL87rEeUgDQg_snOuRHSH88VTYghqnerQNX6NN53iNLkBA4m9Q5PAKd3LI5Fx2g.tj-Afdsglx9vhR-4LNosocCSrVhriAzl-hKt4Tstm64&dib_tag=se&keywords=speaker&qid=1751824969&sprefix=speaker%2Caps%2C232&sr=8-32
9,"Tribit StormBox Mini+ Bluetooth Speaker 12W,360°Surround Sound,12H Playtime,BT 5.4,IPX7 Waterproof,LED Lights,Custom EQ,TWS Pairing,Type-C, AAC/SBC Support,Portable for Home/Outdoor/Travel Black","2,299",https://amazon.in/javascript:void(0)
